Title,URL,Authors,Programs,Bugs,Bounty,PublicationDate,AddedDate,functionality,request_method,anti_csrf_bypass,impact,impact_severity,attack_vector,technical_details,comments
Small bugs are more dangerous than you think,https://medium.com/@terminatorLM/small-bugs-are-more-dangerous-than-you-think-9411618191ab,Liv Matan (@terminatorLM),-,"Self-XSS, Stored XSS, Open redirect, CSRF",-,2022-04-01,2022-09-15,content management,POST,samesite cookie bypass,information disclosure,medium,link/image-based attack,standard csrf exploitation,"and a key takeawayThe website uses HTTP basic authentication, so if the victim is logged in, attackers can potentially restrict him from logging in by redirecting him every time he enters the login page. Also, stealing his cookies and even popping up an iframe to make a clickjacking attack or phishi"
Bug Bounty Adventures: A NodeBB 0-day,https://blogs.opera.com/security/2022/03/bug-bounty-adventures-a-nodebb-0-day/,Marouane Mouhtadi (@Mar0_0uane),Opera,"CSRF, Account takeover, SSO, Broken authentication",-,2022-03-25,2022-09-15,account management,POST,no token,account takeover,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
What an injection into jQuery-selector can lead to,https://systemweakness.com/what-an-injection-into-jquery-selector-can-lead-to-1fcaabfd51e5,Anton Subbotin (@ska_vans),-,CSRF,-,2022-02-21,2022-09-15,account management,POST,json-based csrf,information disclosure,high,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
CVE-2022-21703: cross-origin request forgery against Grafana,https://jub0bs.com/posts/2022-02-08-cve-2022-21703-writeup/,"Julien Cretel (@jub0bs), abrahack (@theabrahack)",Grafana Labs,"CSRF, SSRF",-,2022-02-08,2022-09-15,account management,GET,samesite cookie bypass,account takeover,critical,api endpoint,"¶ The proof of concept below demonstrates that, by mounting a same-site attack against a Grafana instance using the default configuration, an attacker can trick the Grafana Admin into inviting the attacker as an Organization Admin.","is typically too low to be interesting to attackers. You may perceive the second condition as a tall order. If you do, you’d surprised by the sheer number of organisations—even ones with an active bug-bounty programme—that are quite content to live with some XSS vulnerability or a potential subdomai"
A technique to semi-automatically find vulnerabilities in WordPress plugins,https://kazet.cc/2022/02/03/fuzzing-wordpress-plugins.html,kazet (@kazet1234),-,"XSS, SQL injection, Open redirect, CSRF",-,2022-02-03,2022-09-15,account management,POST,samesite cookie bypass,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Abusing Facebooks `Call To Action` To Launch Internal Deeplinks,https://www.ash-king.co.uk/blog/abusing-Facebooks-call-to-action-to-launch-internal-deeplinks,Ashley King (@AshleyKingUK),Meta / Facebook,"CSRF, Android, iOS","4,000",2022-02-02,2022-09-15,account management,POST,no token,unauthorized actions,critical,api endpoint,standard csrf exploitation,for this type of vulnerability is that a page admin could perform CSRF / user de-anonymization attacks against its visitors who engage with the Call to Action button. Lets dive straight in! Reproducing the security issue To reproduce this vulnerability we will make use of Facebooks Graph API. 1. Cre
Stealing administrative JWT's through post auth SSRF (CVE-2021-22056),https://blog.assetnote.io/2022/01/17/workspace-one-access-ssrf/,"Shubham Shah (@infosec_au), Keiran Sampson (@hpy_downunder)",VMware,"SSRF, CSRF",-,2022-01-17,2022-09-15,account management,POST,json-based csrf,account takeover,critical,api endpoint,"vector to send arbitrary HTTP requests to internal network services and hosts and read the full HTTP response for these hosts.This admin token disclosure vulnerability can be exploited by embedding an image in HTML which points to: <img src=""https://access.reverse.test/SAAS/API/1.0/REST/system/healt",for yourself.Request a Demo
Pwning the portal: from database dump to session hijacking,https://www.bitcrack.net/pwning-the-portal-from-database-dump-to-session-hijacking/,Bitcrack (@bitcrack_cyber),-,"SQL injection, XSS, CSRF",-,2022-01-12,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
Bug Hunting Journey of 2021,https://infosecwriteups.com/bug-hunting-journey-of-2021-1fa60b28d949,Sudhanshu Rajbhar (@sudhanshur705),-,"Stored XSS, Open redirect, Token leak, CSRF, Logic flaw, Information disclosure, IDOR, Account takeover","3,200",2021-12-31,2022-09-15,account management,POST,referer validation bypass,account takeover,critical,api endpoint,standard csrf exploitation,"that the application validates the content-type from the extension of the uploaded file for eg: If I upload a file with name test.txt, the fileType parameter value will be text/plain in the upload request. So I uploaded the xss.svg file and changed the fileType parameter value from image/svg+xml (wh"
Story of a weird CSRF bug,https://infosecwriteups.com/story-of-a-weird-csrf-bug-bde1129c106e,Sudhanshu Rajbhar (@sudhanshur705),-,CSRF,-,2021-12-29,2022-09-15,account management,POST,referer validation bypass,unauthorized actions,medium,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
AWS SageMaker Jupyter Notebook Instance Takeover,https://blog.lightspin.io/aws-sagemaker-notebook-takeover-vulnerability,Gafnit Amiga (@gafnitav),AWS,"Self-XSS, CSRF, RCE",-,2021-12-02,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
Exploiting OAuth: Journey to Account Takeover,https://blog.dixitaditya.com/2021/11/19/account-takeover-chain.html,Aditya Dixit (@zombie007o),-,"Account takeover, OAuth, XSS, Weak CSP, CSRF",-,2021-11-19,2022-09-15,account management,POST,no token,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Diving into Open-source LMS Codebases,https://starlabs.sg/blog/2021/11-diving-into-open-source-lms-ccodebases/,Poh Jia Hao (@Chocologicall),"Moodle, Chamilo LMS","Insecure file upload, Insecure deserialization, RCE, CSRF, SQL injection, Reflected XSS",-,2021-11-16,2022-09-15,account management,POST,samesite cookie bypass,account takeover,critical,api endpoint,standard csrf exploitation,Timeline
chaining improper authentication to idor and no rate limit for mass account takeover,https://tox7cv3nom.github.io/2021/11/12/chaining-of-csrf-token-misconfiguration-and-no-rate-limit-leads-to-mass-account-takeover.html,mohit (@mohit29295572),-,"Account takeover, Lack of rate limiting, CSRF, IDOR",-,2021-11-12,2022-09-15,account management,POST,json-based csrf,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Exploiting Request forgery on Mobile Applications.,https://dphoeniixx.medium.com/exploiting-request-forgery-on-mobile-applications-e1d196d187b3,Sayed Abdelhafiz (@dPhoeniixx),Pinterest,"CSRF, Account takeover, Android, iOS",-,2021-10-19,2022-09-15,account management,POST,no token,account takeover,critical,api endpoint,"might depend on server-side issues, client-side issues, or maybe both!Request ForgeryCSRF or SSRF is the most popular web vulnerabilities, both depending on the same concept. Forgery a part of an authenticated request to perform an unwanted action or access sensitive data. In the mobile application,",State-changing action vulnerable to CSRF
Exploitation of file’s download parameters to create potential risk of malware delivery: $200 bug!,https://muhammad-aamir.medium.com/exploitation-of-files-download-parameters-to-create-potential-risk-of-malware-delivery-200-bug-e2bcce0e737,Muhammad Aamir (@Muhammad__Aamir),-,"CSRF, RCE",200,2021-10-17,2022-09-15,content management,POST,no token,account takeover,medium,form-based attack,of file’s download parameters to create potential risk of malware delivery: $200 bug! | by Muhammad Aamir | MediumSitemapSign upSign inMedium LogoWriteSign upSign inExploitation of file’s download parameters to create potential risk of malware delivery: $200 bug!Muhammad AamirFollow3 min read·Oct 16,State-changing action vulnerable to CSRF
CSRF to one tray Red-bull,https://medium.com/@saneem7/csrf-to-one-tray-red-bull-6564cd884a47,Mohammed Saneem,Redbull,CSRF,-,2021-10-06,2022-09-15,content management,POST,no token,unauthorized actions,medium,link/image-based attack,standard csrf exploitation,to triage).Check in google for similar public hackerone reports(This will help you a lot)Since this was a CVE affecting phpmyadmin I knew the organization will be using this for all other website. So I thought of automating it. I wrote a nuclei template for it and scanned . Got many more subdomains 
2 CSRF 1 IDOR on Google Marketing Platform,https://apapedulimu.click/story-of-idor-on-google-product/,apapedulimu / Nosa Shandy (@LocalHost31337),Google,"IDOR, CSRF","3,633.70",2021-09-06,2022-09-15,account management,POST,samesite cookie bypass,unauthorized actions,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
chaining bugs from self XSS to account takeover,https://medium.com/@behnam.yazdanpanah/chaining-bugs-from-self-xss-to-account-takeover-82d572136bdf,Behnam Yazdanpanah (@abhiunix),-,"Self-XSS, WAF bypass, CSRF, Account takeover",-,2021-09-02,2022-09-15,account management,POST,json-based csrf,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
How I found my first Subdomain Takeover vulnerability,https://monish-basaniwal.medium.com/how-i-found-my-first-subdomain-takeover-vulnerability-b7d5c17b61fd,Monish Basaniwal,-,"Subdomain takeover, CSRF",375,2021-08-20,2022-09-15,account management,POST,no token,account takeover,critical,api endpoint,standard csrf exploitation,"Of Subdomain Takeover:1. Representing company in various wrong ways2. XSS Attacks3. Authentication Bypass4. Phishing/ Spear PhishingBug BountyIntigritiSubdomain TakeoverCybersecurityBounty Program----4FollowWritten by Monish Basaniwal224 followers·15 followingDeveloper by day, Hacker by nightFollowR"
Why u should use burp to test Path Traversal Vulnerability and also get RXSS,https://infosecwriteups.com/why-u-should-use-burp-to-test-path-traversal-vulnerability-and-also-get-rxss-2743cbb16a3c,Yasser Mohammed (@boomneroli),-,"Path traversal, XSS, CSRF, Account takeover",700,2021-08-16,2022-09-15,account management,POST,no token,unauthorized actions,critical,api endpoint,standard csrf exploitation,"and got triaged and we got $700 :)i would like to thank my friend Abdulrhman Adel for his assistant when I asked him about the path traversal issue, sadly we couldn’t raise the impact but he explained it to me the reason why the path traversal happened.MoneeeyMe and my Brother telling each other we "
Multiple Vulnerabilities In cPanel/WHM,https://www.fortbridge.co.uk/research/multiple-vulnerabilities-in-cpanel-whm/,Adrian Tiron (@adrian__t),cPanel,"XXE, Stored XSS, Privilege escalation, CSRF, Cross-Site WebSocket Hijacking (CSWH)",-,2021-08-10,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
how to be popular,https://blog.azuki.vip/csrf/,yan (@bcrypt),OkCupid,"CSRF, Type confusion",-,2021-08-02,2022-09-15,account management,POST,samesite cookie bypass,unauthorized actions,critical,api endpoint,of the bug. I would like to thank their security team for the bounty and permission to share this blog post.,State-changing action vulnerable to CSRF
You’ve Got (a Reset) Mail: A Security Analysis of Email-Based Password Reset Procedures,https://innotommy.com/You’ve%20Got%20%28a%20Reset%29%20Mail.pdf,"Tommaso Innocenti (@innotommy), Ali Mirheidari, Amin Kharraz (@amin_kharaz), Bruno Crispo, Engin Kirda",-,"Password reset, Host header injection, CSRF, Account takeover",-,2021-07-26,2022-09-15,account management,POST,no token,account takeover,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Part 2: Dive into Zoom Applications,https://rakesh-thodupunoori.medium.com/part-2-dive-into-zoom-applications-1b01091345c1,Rakesh Thodupunoori (@rakesh_3895),Zoom,"CSRF, Account takeover, Information disclosure, Session expiration issue, Broken authorization, Logic flaw",-,2021-07-13,2022-09-15,account management,POST,json-based csrf,unauthorized actions,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Oversightboard.com site-wide CSRF due to missing checking,https://ysamm.com/?p=702,Youssef Sammouda (@samm0uda),Meta / Facebook,CSRF,500,2021-06-27,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
A supply-chain breach: Taking over an Atlassian account,https://research.checkpoint.com/2021/a-supply-chain-breach-taking-over-an-atlassian-account/,"Dikla Barda, Yaara Shriki, Roman Zaikin (@R0m4nZ41k1n), Oded Vanunu (@Od3dV)",Atlassian,"XSS, CSRF",-,2021-06-24,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
Part-1 Dive into Zoom Applications,https://rakesh-thodupunoori.medium.com/part-1-dive-into-zoom-applications-d70f3de53ec5,Rakesh Thodupunoori (@rakesh_3895),Zoom,"CSRF, Payment bypass, Logic flaw, Account takeover, Privilege escalation","22,000",2021-06-16,2022-09-15,account management,POST,no token,privilege escalation,critical,api endpoint,standard csrf exploitation,would be less as these are done by a high privileged user (Admin). I want to increase the impact to get more bounty. Let’s try with a low privileged user.Soon I created two more member accounts from the owner account. Then logged into one member account and used the cookies in the above request with
Executing CSRF With Phone Validation,https://infosecwriteups.com/executing-csrf-with-phone-validation-103c525dd310,Greg Gibson,-,CSRF,-,2021-06-04,2022-09-15,account management,POST,no token,unauthorized actions,critical,api endpoint,"as possible to:Ensure it’s 100% clear the exploit can do what I’m claiming.Simplify reproduction for both the triage team and the company — if the reproduction steps require the team to simply navigate to a URL you supply, you can eliminate any confusion.Have fun! Building things is a great way to l",State-changing action vulnerable to CSRF
CSRF from which we can create a support ticket in Victim’s Account (500$),https://rohitcoder.medium.com/csrf-from-which-we-can-create-a-support-ticket-in-victims-account-500-c1aa61f99c17,Rohit kumar (@rohitcoder),Meta / Facebook,CSRF,500,2021-05-21,2022-09-15,account management,POST,no token,unauthorized actions,medium,form-based attack,standard csrf exploitation,"issue because we were able to create a support ticket with only specific subject lines, but what about this one? https://rohitcoder.medium.com/victims-anti-csrf-token-could-be-exposed-to-third-party-applications-installed-on-user-s-device-be8e40d511ba i don’t think this also deserves only 500$Facebo"
Deep Dive into Open Source Bug Bounty,https://web.archive.org/web/20210728030437/https://ritiksahni.me/open-source-bug-bounty-tutorial,Ritik Sahni (@ritiksahni22),-,CSRF,-,2021-05-03,2022-09-15,account management,POST,json-based csrf,unauthorized actions,critical,form-based attack,"that can be used to demonstrate the exploitation. <html>   <!-- CSRF PoC - generated by Burp Suite Professional -->   <body>   <script>history.pushState('', '', '/')</script>     <script>       function submitRequest()       {         var xhr = new XMLHttpRequest();         xhr.open(""POST"", ""http:\/",Of The Finding
Chaining CSRF with XSS to deactivate Mass user accounts by single click,https://notifybugme.medium.com/chaining-csrf-with-xss-to-deactivate-mass-user-accounts-by-single-click-b463c0d26587,Santosh Kumar Sha (@killmongar1996),-,"CSRF, XSS",-,2021-05-02,2022-09-15,account management,POST,no token,account takeover,high,web application,standard csrf exploitation,but the site was using http only and also I found a CSRF bug which was not exploitable directly. So this is the writeup of how i was able to combine the two different bug to deactivated mass user account.----4FollowWritten by Santosh Kumar Sha(@killmongar1996)2.2K followers·6 followingCloud Security
Got Nice catch by Google,https://parthdeshani.medium.com/got-nice-catch-by-google-5e6a8211371c,Parth Desani (@DesaniParth),Google,"OAuth, Open redirect, CSRF",-,2021-04-22,2022-09-15,account management,POST,samesite cookie bypass,unauthorized actions,high,api endpoint,standard csrf exploitation,"and chain multiple bugAlways read carefully about scope Always always always..(Otherwise no bounty)Never Give upRemember : “NO GUTS, NO Glory !!!!”GoogleBug BountyBugsHackingOauth----3FollowWritten by Parth Desani340 followers·100 followingSecurity researcher who love to find bugsFollowResponses (3)"
I Built a TV That Plays All of Your Private YouTube Videos,https://bugs.xdavidhu.me/google/2021/04/05/i-built-a-tv-that-plays-all-of-your-private-youtube-videos/,David Schütz (@xdavidhu),Google,CSRF,"6,000",2021-04-05,2022-09-15,account management,POST,no token,unauthorized actions,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
CSRF in YouTube Leanback API,https://feed.bugs.xdavidhu.me/bugs/0001,David Schütz (@xdavidhu),Google,CSRF,-,2021-04-05,2022-09-15,content management,POST,no token,unauthorized actions,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Missing CORS leads to Complete Account Takeover,https://nirajmodi51.medium.com/missing-cors-leads-to-complete-account-takeover-1ed4b53bf9f2,Niraj Modi (@nirajmodi51),-,"Missing CORS, CSRF, Account takeover",-,2021-03-30,2022-09-15,account management,GET,no token,account takeover,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
CSRF to Full Account Takeover,https://medium.com/@ashrafharb997/csrf-to-full-account-takeover-5196cef9d166,Ashraf Harb (@ashrafharb97),-,"CSRF, Account takeover",-,2021-03-29,2022-09-15,account management,POST,json-based csrf,account takeover,critical,form-based attack,standard csrf exploitation,for example changing email function as this would lead To Account TakeoverChange Email Function:when testing CSRF against the change email Function I noticed some difficulties that may fail the attack1 User must Enter the Current Password in order to change the email linked to the accountI tried an 
Chaining bugs for the greater good,https://med-mahmoudi26.medium.com/chaining-bugs-for-the-greater-good-664412ae85f8,mohamad mahmoudi (@Lotus_619),-,"Blind XSS, CSRF",-,2021-03-18,2022-09-15,account management,POST,json-based csrf,unauthorized actions,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
CSRF through URL with # tag parameter,https://web.archive.org/web/20210227092343/https://tommysuriel.medium.com/csrf-through-url-with-tag-parameter-c8ef585bded3,Tommysuriel,-,CSRF,100,2021-02-25,2022-09-15,social actions,POST,no token,account takeover,medium,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
CSRF In JSF 2.0: Predicting CSRF Tokens For Apache MyFaces,https://certitude.consulting/blog/en/csrf-myfaces-2/,Wolfgang Ettlinger,Apache,"CSRF, ViewState",-,2021-02-19,2022-12-09,content management,POST,no token,account takeover,critical,form-based attack,standard csrf exploitation,"Our experience shows that many developers and even penetration testers believed that CSRF is no longer an issue with modern JSF frameworks. This vulnerability shows that one should not only rely on publicly available information, but challenge assumptions and dig deeper. A thorough source code revie"
Full account takeover worth $1000 Think out of the box,https://mokhansec.medium.com/full-account-takeover-worth-1000-think-out-of-the-box-808f0bdd8ac7,Mohsin Khan (@tabaahi_),-,"Account takeover, CSRF, IDOR","1,000",2021-02-15,2022-09-15,account management,POST,json-based csrf,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
OAuth Misconfiguration Leads to Full Account takeover,https://neroli.medium.com/oauth-misconfiguration-leads-to-full-account-takeover-22b032cb6732,Yasser Mohammed (@boomneroli),-,"OAuth, Clickjacking, CSRF, Account takeover",-,2021-02-13,2022-09-15,account management,POST,no token,account takeover,critical,api endpoint,standard csrf exploitation,for the issue.Thank you all for reading and I hope you find it useful.Referenceshttps://javascript.info/cross-window-communicationhttps://vinothkumar.me/20000-facebook-dom-xss/https://opnsec.com/2020/05/dom-xss-in-gmail-with-a-little-help-from-chrome/https://portswigger.net/web-security/oauthOauthBu
Stealing Chat session ID with CORS and execute CSRF attack,https://sunilyedla.medium.com/stealing-chat-session-id-with-cors-and-execute-csrf-attack-f9f7ea229db1,Sunil Yedla (@sunilyedla2),-,"CSRF, CORS misconfiguration",-,2021-02-02,2022-09-15,content management,POST,json-based csrf,unauthorized actions,medium,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Launching Internal & Non-Exported Deeplinks On Facebook,https://ash-king.co.uk/blog/Launching-internal-non-exported-deeplinks-on-Facebook,"Ashley King (@AshleyKingUK), Rahul Kankrale (@RahulKankrale)",Meta / Facebook,CSRF,"4,000",2021-01-28,2022-09-15,account management,POST,samesite cookie bypass,unauthorized actions,critical,form-based attack,standard csrf exploitation,"A malicious actor is able to launch internal & non-exported deeplinks on a device on behalf of a user, bypassing custom restrictions around deeplinks. A chained vulnerability allows an actor to run arbitrary javascript on a webview inside the FB4a app on behalf of a user. Overriding webviews with a "
CSRF Protection Bypass in Atlassian Confluence Server,https://yeuchimse.com/csrf-protection-bypass-in-atlassian-confluence-server/,yeuchimse (@yeuchimse),Atlassian,CSRF,"3,600",2021-01-22,2022-09-15,account management,POST,referer validation bypass,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
CSRF with IDOR - A Deadly Combo,https://shahjerry33.medium.com/csrf-with-idor-a-deadly-combo-203e93967702,Jerry Shah (@Jerry),-,"CSRF, IDOR",-,2021-01-12,2022-09-15,account management,GET,no token,unauthorized actions,critical,form-based attack,standard csrf exploitation,"| by Jerry Shah (Jerry) | MediumSitemapSign upSign inMedium LogoWriteSign upSign inCSRF with IDOR - A Deadly ComboJerry Shah (Jerry)Follow4 min read·Jan 12, 2021--2ListenShareSummary :I was invited on a private program on HackerOne and there were so many domains in scope so I thought of testing some"
Finding bugs on Chess.com,https://medium.com/bugbountywriteup/finding-bugs-on-chess-com-739a71fbdb31,Seqrity (@seqrity9),Chess.com,"Lack of rate limiting, Bruteforce, CSRF",180,2021-01-07,2022-09-15,account management,POST,samesite cookie bypass,unauthorized actions,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
How I Got My First Bounty & Hof From Google (CSRF Lead To Account Delete),https://bhupendra1238.medium.com/how-i-got-my-first-bounty-hof-from-google-csrf-lead-to-account-delete-85f9906ba9ec,Bhupendra Rajbhar (@bhupendra1238),Google,CSRF,-,2020-12-28,2022-09-15,account management,POST,no token,unauthorized actions,critical,api endpoint,"and submitted it to Google . Reported : Aug 6, 2020, 12:29 PMIt Triaged The Next day in the morning Got Response from google is this given below .Lmao !! It was really disappointed me Even I had sent proper video POC to them then also they weren’t able to reproduce the vulnerability :(I took bath as",State-changing action vulnerable to CSRF
Cookie Tossing to RCE on Google Cloud JupyterLab,https://blog.s1r1us.ninja/research/cookie-tossing-to-rce-on-google-cloud-jupyter-notebooks,s1r1us (@s1r1u5_),Google,"Self-XSS, DoS, CSRF, RCE","3,133.70",2020-12-23,2022-09-15,content management,DELETE,referer validation bypass,unauthorized actions,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
TikTok Careers Portal Account Takeover,https://security.lauritz-holtmann.de,Lauritz Holtmann (@_lauritz_),TikTok,"CSRF, Open redirect, Account takeover","2,373",2020-12-15,2022-09-15,account management,POST,no token,account takeover,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Exploiting new-era of Request forgery on mobile applications,https://web.archive.org/web/20210508050717/http://dphoeniixx.com/2020/12/13-2/,Sayed Abdelhafiz (@dPhoeniixx),Pinterest,"CSRF, Account takeover",-,2020-12-11,2022-09-15,account management,POST,no token,account takeover,critical,api endpoint,"might depend on server-side issues, client-side issues, or maybe both! Request Forgery CSRF or SSRF is the most popular web vulnerabilities, both depending on the same concept. Forgery a part of an authenticated request to perform an unwanted action or access sensitive data. In the mobile applicatio",Validate eveything! Hiring Interested on non certified guy like me? You can find me on Linkedin or Twitter
Site Wide CSRF On Glassdoor,https://blog.witcoat.com/2020/12/03/site-wide-csrf-on-glassdoor/,Tabahi (@_tabahi),Glassdoor,CSRF,"3,000",2020-12-03,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
Weaponizing XSS For Fun & Profit,https://saadahmedx.medium.com/weaponizing-xss-for-fun-profit-a1414f3fcee9,Saad Ahmed (@XSaadAhmedX),-,"XSS, CSRF","2,200",2020-10-14,2022-09-15,account management,POST,no token,unauthorized actions,high,api endpoint,standard csrf exploitation,"to the TEAM, so after checking all the request I came to know that on every request there is CSRF TOKEN header is present, so I need to steal that token and then need to send the request using fetch to weaponize the XSS.I tried to remove the CSRF TOKEN from the request & bang!! the request is sent w"
Research: The mass CSRFing of *.google.com/* products.,http://www.missoumsai.com/google-csrfs.html,Missoum Said (@missoum1307),Google,CSRF,"30,000",2020-10-07,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
My First Bug Bounty From Bug Bounty Platform redstorm.io,https://medium.com/@novan.rmd/my-first-bug-bounty-from-bug-bounty-platform-redstorm-io-50958f6adc90,Novan Aziz Ramadhan (@novan_rmd),RedStorm,CSRF,-,2020-09-17,2022-09-15,account management,POST,no token,unauthorized actions,high,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
My first bug in google and how i got CSRF token for victim account rather than bypass it ($1337)!,https://medium.com/@odayalhalbe1/my-first-bug-in-google-and-how-i-got-csrf-token-for-victim-account-rather-than-bypass-it-1337-bf01261feb47,Oday Alhalbe,Google,CSRF,"1,337",2020-09-07,2022-09-15,account management,POST,no token,unauthorized actions,medium,web application,standard csrf exploitation,State-changing action vulnerable to CSRF
Unhiding the hidden,https://medium.com/bugbountywriteup/unhiding-the-hidden-2ef44192c10b,I am Broot,-,"Client-side enforcement of server-side security, Broken authorization, CSRF",530,2020-08-31,2022-09-15,account management,POST,samesite cookie bypass,account takeover,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Journey to my First Bug Hunt$$$$,https://medium.com/@balapraneeth98/journey-to-my-first-bug-hunt-6dc5e4552128,Bala Praneeth (@Begin_hunt),-,CSRF,900,2020-08-13,2022-09-15,e-commerce,POST,samesite cookie bypass,information disclosure,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
"Refocusing in bug hunting, Bonus: An interestingly simple to test CSRF bypass",https://medium.com/bugbountywriteup/refocusing-in-bug-hunting-bonus-an-interestingly-simple-to-test-csrf-bypass-8595b3312147,Vuk Ivanovic,-,CSRF,-,2020-08-01,2022-09-15,content management,GET,no token,unauthorized actions,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Zoom Security Exploit – Cracking private meeting passwords,https://www.tomanthony.co.uk/blog/zoom-security-exploit-crack-private-meeting-passwords/,Tom Anthony (@TomAnthonySEO),Zoom,"CSRF, Lack of rate limiting",-,2020-07-29,2022-09-15,account management,GET,no token,unauthorized actions,high,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
CSRF + Open Redirect To Account Takeover,https://www.r29k.com/articles/bb/csrf,R29k (@R29k_),-,"CSRF, Open redirect, Account takeover",-,2020-07-28,2022-09-15,account management,POST,no token,account takeover,critical,link/image-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Tenda AC15 AC1900 Vulnerabilities Discovered and Exploited,https://blog.securityevaluators.com/tenda-ac1900-vulnerabilities-discovered-and-exploited-e8e26aa0bc68,Sanjana Sarda,Tenda,"CSRF, XSS, Hardcoded credentials, RCE",-,2020-07-10,2022-10-21,account management,GET,no token,account takeover,critical,api endpoint,of these vulnerabilities can be leveraged as part of a botnet to potentially attack external systems and other systems residing on the internal network.Setting the StageThe admin account of the router is initially set up with the password as mouse. The MD5 hash of mouse (40203abe6e81ed98cbc97cdd6ec4,State-changing action vulnerable to CSRF
EN | Account Takeover and Sensitive Data Leakage via CORS Misconfiguration,https://lutfumertceylan.com.tr/posts/ato-and-data-leakage-via-cors-misc/,Lütfü Mert Ceylan (@lutfumertceylan),-,"CORS misconfiguration, CSRF, Account takeover",-,2020-07-04,2022-09-15,account management,PUT,json-based csrf,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
CSRF Attack!!!,https://balapraneeth.medium.com/csrf-attack-e7bb9f3f36e1,Bala Praneeth (@Begin_hunt),-,CSRF,500,2020-07-04,2022-09-15,account management,POST,json-based csrf,account takeover,medium,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Let’s Bypass CSRF Protection & Password Confirmation to Takeover Victim Accounts :D,https://medium.com/bugbountywriteup/lets-bypass-csrf-protection-password-confirmation-to-takeover-victim-accounts-d-4a21297847ff,Harsh Bothra (@harshbothra_),-,CSRF,-,2020-06-12,2022-09-15,account management,POST,no token,account takeover,critical,api endpoint,standard csrf exploitation,to a good extent.Ways to bypass CSRF protection.Never Giving up on learning something new.If you enjoyed reading the article do clap and follow on Medium and Twitter:Twitter: https://www.twitter.com/harshbothra_LinkedIn: https://www.linkedin.com/in/harshbothraWebsite: https://harshbothra.techBug Bou
How i earned $500 from google by change one character .,https://medium.com/@odayalhalbe1/how-i-earned-500-from-google-by-change-one-character-8350d2b618e5,Oday Alhalbe,Google,CSRF,500,2020-06-06,2022-09-15,account management,POST,no token,unauthorized actions,critical,web application,standard csrf exploitation,State-changing action vulnerable to CSRF
How I leveraged an interesting CSRF vulnerability to turn self XSS into a persistent attack?,https://medium.com/bugbountywriteup/how-i-leveraged-an-interesting-csrf-vulnerability-to-turn-self-xss-into-a-persistent-attack-b780824042d2,Akash Methani (@0xAkash),-,"Self-XSS, CSRF",-,2020-06-01,2022-09-15,account management,POST,no token,account takeover,high,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
